"educ_level_code","educ_level_desc","educ_level_school"
"0","Kindergarten","Elementary School"
"1","Grade 1","Elementary School"
"10","Grades 10","Junior High School"
"11","Grade 11","Senior High School"
"12","Grade 12","Senior High School"
"13","College","Undergraduate School"
"2","Grade 2","Elementary School"
"3","Grade 3","Elementary School"
"4","Grade 4`","Elementary School"
"5","Grade 5","Elementary School"
"6","Grade 6","Elementary School"
"7","Grade 7","Junior High School"
"8","Grades 8","Junior High School"
"9","Grades 9","Junior High School"
