"regcode","regname","regabbrev","nscb_reg_code","nscb_reg_name","UserLevelID","addedby","dateupdated","status"
"01","Region 1","","01","Ilocos Region","0","ims","8/6/2009 16:08:00","A"
"02","Region 2","","02","Cagayan Valley","0","ims","8/6/2009 16:08:00","A"
"03","Region 3","","03","Central Luzon","0","ims","8/6/2009 16:08:00","A"
"04","Region 4A","","04","CALABARZON","0","ims","8/6/2009 16:08:00","A"
"05","Region 5","","05","Bicol Region","0","ims","8/6/2009 16:08:00","A"
"06","Region 6","","06","Western Visayas","0","ims","8/6/2009 16:08:00","A"
"07","Region 7","","07","Central Visayas","0","ims","8/6/2009 16:08:00","A"
"08","Region 8","","08","Eastern Visayas","0","ims","8/6/2009 16:08:00","A"
"09","Region 9","","09","Zamboanga Peninsula","0","ims","8/6/2009 16:08:00","A"
"10","Region 10","","10","Northern Mindanao","0","ims","8/6/2009 16:08:00","A"
"11","Region 11","","11","Davao Region","0","ims","8/6/2009 16:08:00","A"
"12","Region 12","","12","Soccsksargen","0","ims","8/6/2009 16:08:00","A"
"13","NCR","","13","National Capital Region","0","ims","8/6/2009 16:08:00","A"
"14","CAR","","14","Cordillera Administrative Region","0","ims","8/6/2009 16:08:00","A"
"15","ARMM","","15","Autonomous Region in Muslim Mindanao","0","ims","8/6/2009 16:08:00","A"
"16","CARAGA","","16","CARAGA","0","ims","8/6/2009 16:08:00","A"
"17","Region 4B","","17","MIMAROPA","0","ims","8/6/2009 16:08:00","A"
